,ID,number,1_up,1_down,1_left,1_right,1_time,1_file_name,2_up,2_down,2_left,2_right,2_time,2_file_name,3_up,3_down,3_left,3_right,3_time,3_file_name,4_up,4_down,4_left,4_right,4_time,4_file_name,5_up,5_down,5_left,5_right,5_time,5_file_name,6_up,6_down,6_left,6_right,6_time,6_file_name,7_up,7_down,7_left,7_right,7_time,7_file_name,8_up,8_down,8_left,8_right,8_time,8_file_name,9_up,9_down,9_left,9_right,9_time,9_file_name,10_up,10_down,10_left,10_right,10_time,10_file_name,11_up,11_down,11_left,11_right,11_time,11_file_name
0,2,1,1,1,1,1,2015-01-16_09-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,test_cognitive_motor,5,0.7,0.7,0.7,0.7,2015-01-19_20-24-30,,0.8346446092,0.447656837,0.714805951,0.6337344053,2015-03-07_10-34-46,u'test_cognitive_motor_ventures_calibration_2015-03-07_10-33-03',0.7826969549,0.4644073617,0.7066341834,0.6154128124,2015-03-07_10-56-31,u'test_cognitive_motor_ventures_calibration_2015-03-07_10-55-51',0.7507129856,0.7120859462,0.7018686079,0.7399956958,2015-03-07_11-04-15,u'test_cognitive_motor_ventures_calibration_2015-03-07_11-03-46',0.7046495327,0.7101157744,0.642259674,0.7302256151,2015-03-07_11-05-13,u'test_cognitive_motor_ventures_calibration_2015-03-07_11-04-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,test_motor,1,0.7,0.7,0.7,0.7,2015-01-27_19-18-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LP,3,0.8875512,0.6495949822,0.6189777348,0.7086728607,2015-02-02_11-31-04,u'LP_ventures_calibration_2015-02-02_11-30-32',0.7841462999,0.589910455,0.6312541615,0.5943889408,2015-02-03_11-14-56,u'LP_ventures_calibration_2015-02-03_11-14-30',0.8332448512,0.6119686924,0.6340642208,0.7473366689,2015-02-04_08-19-49,u'LP_ventures_calibration_2015-02-04_08-19-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ML,3,0.7814337872,0.2346328236,0.6173073755,0.6122002517,2015-02-02_08-51-40,u'ML_ventures_calibration_2015-02-02_08-50-30',0.7578658051,0.220546583,0.495026609,0.5177953917,2015-02-03_08-17-36,u'ML_ventures_calibration_2015-02-03_08-16-56',0.8204426019,0.2533167757,0.6301811051,0.5873676629,2015-02-04_11-56-30,u'ML_ventures_calibration_2015-02-04_11-55-59',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SC,5,0.8057581705,0.5371663734,0.5329117357,0.6328579476,2015-02-06_20-04-06,u'SC_ventures_calibration_2015-02-06_20-02-59',0.8888651796,0.4968118984,0.6045723205,0.5871356115,2015-02-07_09-06-39,u'SC_ventures_calibration_2015-02-07_09-05-38',0.7775254729,0.3795648023,0.5750897534,0.5003196507,2015-02-07_14-29-31,u'SC_ventures_calibration_2015-02-07_14-28-33',0.7478210161,0.4216547432,0.5581134659,0.5686065816,2015-02-08_09-09-07,u'SC_ventures_calibration_2015-02-08_09-08-03',0.7086484221,0.4568888647,0.614801001,0.6015996754,2015-02-08_14-28-35,u'SC_ventures_calibration_2015-02-08_14-28-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MC,7,0.3785970517,0.0665234652,0.2527702979,0.2198877035,2015-02-07_10-16-27,u'MC_ventures_calibration_2015-02-07_10-15-48',0.4188881608,0.2805736285,0.3333156261,0.3588229841,2015-02-07_10-18-49,u'MC_ventures_calibration_2015-02-07_10-18-06',0.5135056457,0.5588713612,0.5511164033,0.6099096805,2015-02-07_13-08-44,u'MC_ventures_calibration_2015-02-07_13-08-06',0.5502178252,0.4090639582,0.4409527612,0.4402218715,2015-02-07_18-35-35,u'MC_ventures_calibration_2015-02-07_18-35-09',0.5257362959,0.3879928717,0.5206637695,0.5654539804,2015-02-08_10-45-31,u'MC_ventures_calibration_2015-02-08_10-45-02',0.5409100307,0.3936744166,0.3626505936,0.4686799079,2015-02-08_13-33-00,u'MC_ventures_calibration_2015-02-08_13-32-34',0.4585349571,0.4306440579,0.4833189425,0.5188175144,2015-02-08_16-05-27,u'MC_ventures_calibration_2015-02-08_16-05-05',,,,,,,,,,,,,,,,,,,,,,,,
7,MK,3,0.6992732374,0.5048530984,0.6685585883,0.6638199186,2015-02-16_15-41-37,u'MK_ventures_calibration_2015-02-16_15-39-59',0.9874005073,0.5335112959,0.6860049576,0.6445445795,2015-02-17_08-32-20,u'MK_ventures_calibration_2015-02-17_08-31-16',0.9838109963,0.4523882252,0.6738847036,0.6659996143,2015-02-18_08-35-23,u'MK_ventures_calibration_2015-02-18_08-34-48',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP,3,0.7749124764,0.4927324263,0.6061032383,0.5843831983,2015-02-16_16-38-06,u'MP_ventures_calibration_2015-02-16_16-36-52',0.8918721755,0.5558462789,0.7302923649,0.7164708872,2015-02-18_09-41-43,u'MP_ventures_calibration_2015-02-18_09-41-02',0.9003992721,0.553460506,0.6495418886,0.6646911918,2015-02-19_15-04-11,u'MP_ventures_calibration_2015-02-19_15-03-03',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JT,3,0.7647727408,0.5297164505,0.7584176518,0.6159537833,2015-02-17_10-05-44,u'JT_ventures_calibration_2015-02-17_10-04-52',0.655640215,0.37228496,0.6685349268,0.5457031948,2015-02-18_11-29-00,u'JT_ventures_calibration_2015-02-18_11-28-14',0.8829506123,0.4012035601,0.6522349201,0.5334279215,2015-02-23_16-30-03,u'JT_ventures_calibration_2015-02-23_16-29-12',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PS,3,0.644110827,0.6740922797,0.5834993805,0.6464275717,2015-02-17_09-41-42,u'PS_ventures_calibration_2015-02-17_09-40-14',0.7274890722,0.5293430774,0.6517390027,0.6464736646,2015-02-18_09-23-11,u'PS_ventures_calibration_2015-02-18_09-22-08',0.7011368813,0.4970920405,0.6366231877,0.6506487717,2015-02-19_17-12-43,u'PS_ventures_calibration_2015-02-19_17-12-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PE23,5,0.8264628298,0.317572417,0.5648895346,0.5628871939,2015-02-21_12-22-49,u'PE23_ventures_calibration_2015-02-21_12-21-14',0.8741649052,0.534968766,0.5929088206,0.5627878602,2015-03-07_12-12-10,u'PE23_ventures_calibration_2015-03-07_12-10-05',0.8979703237,0.5326474491,0.5943872443,0.5682707983,2015-03-08_16-37-25,u'PE23_ventures_calibration_2015-03-08_16-36-29',0.7309002788,0.6322198462,0.5732505173,0.5609631829,2015-03-10_18-23-22,u'PE23_ventures_calibration_2015-03-10_18-22-17',0.8071695518,0.4219173875,0.6053501291,0.5824057185,2015-03-18_19-04-01,u'PE23_ventures_calibration_2015-03-18_19-02-56',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DW25,6,0.5688386937,0.2887350414,0.5160983798,0.496757558,2015-03-10_12-34-01,u'DW25_ventures_calibration_2015-03-10_12-30-41',0.6287596127,0.3282570152,0.5699585068,0.5396192521,2015-03-12_14-53-57,u'DW25_ventures_calibration_2015-03-12_14-52-39',0.5834985768,0.4410512442,0.5834327871,0.5646672813,2015-03-13_10-03-01,u'DW25_ventures_calibration_2015-03-13_10-01-53',0.6262978627,0.4094431005,0.552200978,0.5684361366,2015-03-16_09-23-00,u'DW25_ventures_calibration_2015-03-16_09-21-54',0.7065830177,0.2964349302,0.5835090338,0.5703803008,2015-03-18_09-22-44,u'DW25_ventures_calibration_2015-03-18_09-21-36',0.701174121,0.2964650718,0.6095172416,0.5628552913,2015-03-20_09-59-53,u'DW25_ventures_calibration_2015-03-20_09-58-38',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IZ29,6,0.5888626355,0.4165744332,0.5670250285,0.5437870202,2015-03-23_11-05-33,u'IZ29_ventures_calibration_2015-03-23_11-03-21',0.520321546,0.5419780155,0.4912979173,0.4667001455,2015-03-24_11-07-33,u'IZ29_ventures_calibration_2015-03-24_11-06-08',0.5538126859,0.5562256091,0.6305275708,0.5457992114,2015-03-27_11-38-37,u'IZ29_ventures_calibration_2015-03-27_11-37-06',0.6113423561,0.4474239132,0.6510754283,0.5790014578,2015-03-30_10-37-58,u'IZ29_ventures_calibration_2015-03-30_10-36-54',0.609336307,0.6840769905,0.6515787801,0.6378407731,2015-03-30_15-03-56,u'IZ29_ventures_calibration_2015-03-30_15-03-07',0.5784013528,0.4071477331,0.5756042258,0.4980067325,2015-03-31_14-05-45,u'IZ29_ventures_calibration_2015-03-31_14-04-52',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KJ24,4,0.637602004,0.4470924925,0.5586482528,0.552139655,2015-03-24_13-49-10,u'KJ24_ventures_calibration_2015-03-24_13-46-36',0.6923631644,0.4043830741,0.6680117336,0.7206221679,2015-03-27_12-38-10,u'KJ24_ventures_calibration_2015-03-27_12-36-59',0.7297413969,0.4635142295,0.6668004492,0.7230631886,2015-03-28_13-42-34,u'KJ24_ventures_calibration_2015-03-28_13-41-40',0.5807839409,0.5849158438,0.5896122453,0.6242358246,2015-03-31_12-08-33,u'KJ24_ventures_calibration_2015-03-31_12-07-48',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BB21,4,0.546807638,0.3976800598,0.4202554385,0.5299200057,2015-03-24_15-03-18,u'BB21_ventures_calibration_2015-03-24_15-01-24',0.6816920533,0.4286692973,0.6245089195,0.638295473,2015-03-26_18-33-25,u'BB21_ventures_calibration_2015-03-26_18-32-31',0.6773390861,0.3673556737,0.69623794,0.6684233203,2015-03-27_18-44-21,u'BB21_ventures_calibration_2015-03-27_18-43-09',0.6850249776,0.370936344,0.5709550909,0.5910053417,2015-03-31_19-23-02,u'BB21_ventures_calibration_2015-03-31_19-22-03',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,JT41,4,0.7876712183,0.5074477619,0.5485433969,0.5591581668,2015-03-31_13-11-35,u'JT41_ventures_calibration_2015-03-31_13-09-25',0.7713865666,0.4962815822,0.5519237894,0.5923506462,2015-04-02_10-04-14,u'JT41_ventures_calibration_2015-04-02_10-02-36',0.8188561763,0.4979302737,0.563596275,0.5963944748,2015-04-03_10-05-00,u'JT41_ventures_calibration_2015-04-03_10-04-00',0.6164229534,0.7259895446,0.5778639164,0.6069476729,2015-04-08_17-06-22,u'JT41_ventures_calibration_2015-04-08_17-05-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TI29,6,0.4891194657,0.76107667,0.5987801893,0.5955555325,2015-04-02_14-23-36,u'TI29_ventures_calibration_2015-04-02_14-21-54',0.6990947404,0.6479888704,0.5943985631,0.6255446428,2015-04-03_12-05-07,u'TI29_ventures_calibration_2015-04-03_12-04-23',0.5286261457,0.7672826799,0.6404002986,0.6429702447,2015-04-08_15-22-44,u'TI29_ventures_calibration_2015-04-08_15-21-25',0.7683168277,0.445195433,0.6218470465,0.6893017604,2015-04-09_14-22-48,u'TI29_ventures_calibration_2015-04-09_14-21-57',0.8251403769,0.4519224458,0.71135983,0.6334213451,2015-04-10_11-04-31,u'TI29_ventures_calibration_2015-04-10_11-03-52',0.7135523609,0.4362009657,0.6472560674,0.6159000826,2015-04-13_16-50-26,u'TI29_ventures_calibration_2015-04-13_16-49-51',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AM33,2,0.7147072273,0.4498969993,0.6351191249,0.5998988582,2015-04-08_09-18-10,u'JT41_ventures_calibration_2015-04-08_09-15-22',0.588973384,0.3017393389,0.5837616434,0.5014817198,2015-04-10_08-58-34,u'AM33_ventures_calibration_2015-04-10_08-57-34',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WS12,5,0.7556278761,0.4992224514,0.5992489955,0.5893416966,2015-07-08_16-38-31,u'WS12_ventures_calibration_2015-07-08_16-36-23',0.6778030276,0.5379501749,0.6347419879,0.549823119,2015-07-09_16-36-06,u'WS12_ventures_calibration_2015-07-09_16-34-13',0.6258222122,0.3557108434,0.6671151711,0.5724948003,2015-07-10_14-01-22,u'WS12_ventures_calibration_2015-07-10_13-59-58',0.6341259556,0.3975252424,0.5361195069,0.5674827309,2015-07-11_17-58-07,u'WS12_ventures_calibration_2015-07-11_17-57-16',0.4512279448,0.5704475322,0.5680313786,0.5833624192,2015-07-12_13-08-37,u'WS12_ventures_calibration_2015-07-12_13-07-58',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WB78,5,0.7806430193,0.5271423526,0.5792206787,0.6603361155,2015-07-09_21-12-07,u'WB78_ventures_calibration_2015-07-09_21-10-05',0.7482561371,0.7185509028,0.67575236,0.7466217964,2015-07-10_20-13-22,u'WB78_ventures_calibration_2015-07-10_20-12-11',0.7638767495,0.6837102514,0.7145428811,0.7648029956,2015-07-13_20-07-13,u'WB78_ventures_calibration_2015-07-13_20-06-29',0.8608557637,0.4479155349,0.7166868307,0.7804993833,2015-07-14_20-01-19,u'WB78_ventures_calibration_2015-07-14_20-00-27',0.8880168607,0.542432924,0.7418027153,0.7686416817,2015-07-15_19-36-11,u'WB78_ventures_calibration_2015-07-15_19-35-33',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,EB56,6,0.6936082453,0.476965759,0.6235049768,0.680695559,2015-07-09_21-29-34,u'EB56_ventures_calibration_2015-07-09_21-28-21',0.7987490357,0.4617582943,0.7188704095,0.6823705049,2015-07-10_20-17-22,u'EB56_ventures_calibration_2015-07-10_20-15-34',0.6634870881,0.4458285465,0.620732871,0.5670600222,2015-07-13_20-14-43,u'EB56_ventures_calibration_2015-07-13_20-13-30',0.7195497804,0.539663739,0.7191485839,0.7183791379,2015-07-14_20-08-17,u'EB56_ventures_calibration_2015-07-14_20-07-15',0.8270799068,0.4716767941,0.7441182902,0.7237167711,2015-07-15_19-13-30,u'EB56_ventures_calibration_2015-07-15_19-12-49',0.869819452,0.5265148273,0.7506101424,0.7493744861,2015-07-15_20-40-22,u'EB56_ventures_calibration_2015-07-15_20-39-31',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TD78,5,0.6062173943,0.4029669409,0.4958501699,0.4536136047,2015-07-10_10-32-50,u'TD78_ventures_calibration_2015-07-10_10-30-09',0.8688506376,0.2499510778,0.5348173935,0.6005206442,2015-07-11_10-05-05,u'TD78_ventures_calibration_2015-07-11_10-03-16',0.8310988746,0.2699376135,0.4938905363,0.5440193366,2015-07-13_10-02-05,u'TD78_ventures_calibration_2015-07-13_10-00-55',0.8666448853,0.38039487,0.6780775721,0.6031373229,2015-07-14_09-59-49,u'TD78_ventures_calibration_2015-07-14_09-57-28',0.7039696642,0.3970632107,0.5575868033,0.5492196382,2015-07-15_10-10-12,u'TD78_ventures_calibration_2015-07-15_10-08-56',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WT01,4,0.7392320975,0.467208409,0.6246814093,0.6371209598,2015-07-09_17-08-34,u'WT01_ventures_calibration_2015-07-09_17-05-27',0.7906098829,0.3962220623,0.6135866197,0.6882898292,2015-07-11_18-28-40,u'WT01_ventures_calibration_2015-07-11_18-26-34',0.7647554633,0.3034483184,0.6953343508,0.6042549249,2015-07-12_16-10-31,u'WT01_ventures_calibration_2015-07-12_16-09-16',0.7740389111,0.4134148827,0.7311563195,0.6330964208,2015-07-13_16-40-24,u'WT01_ventures_calibration_2015-07-13_16-39-45',,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,
24,KK99,8,0.4663877319,0.5715093603,0.5909386802,0.6288194004,2015-07-10_12-47-29,u'KK99_ventures_calibration_2015-07-10_12-45-39',0.5011494274,0.6538286325,0.646925449,0.6132306981,2015-07-11_13-07-38,u'KK99_ventures_calibration_2015-07-11_13-06-48',0.7121925326,0.5401929282,0.6856091122,0.6687470854,2015-07-12_17-34-55,u'KK99_ventures_calibration_2015-07-12_17-33-44',0.8147080045,0.5887407548,0.7154903824,0.6789728164,2015-07-13_16-36-05,u'KK99_ventures_calibration_2015-07-13_16-35-33',0.8819146761,0.4321854978,0.6882389605,0.6200150014,2015-07-14_16-35-49,u'KK99_ventures_calibration_2015-07-14_16-35-12',0.7388623862,0.4690556668,0.5777434718,0.5032118912,2015-07-15_12-12-26,u'KK99_ventures_calibration_2015-07-15_12-12-02',0.8154544592,0.5812137616,0.73529953,0.6119871685,2015-07-16_11-58-56,u'KK99_ventures_calibration_2015-07-16_11-58-07',0.6410751814,0.6174992472,0.7338490705,0.6171418885,2015-07-16_16-43-11,u'KK99_ventures_calibration_2015-07-16_16-42-17',,,,,,,,,,,,,,,,,,
25,ZA90,7,0.6161687623,0.4858710254,0.5709629511,0.5995278482,2015-07-10_17-43-05,u'ZA90_ventures_calibration_2015-07-10_17-41-18',0.6484376557,0.5593031213,0.7082049316,0.6580644789,2015-07-11_19-43-40,u'ZA90_ventures_calibration_2015-07-11_19-42-44',0.6900714957,0.610996379,0.7128122833,0.684178369,2015-07-12_17-34-33,u'ZA90_ventures_calibration_2015-07-12_17-32-12',0.5303763792,0.6943258579,0.6445921182,0.6384749435,2015-07-13_17-34-03,u'ZA90_ventures_calibration_2015-07-13_17-33-17',0.5144687864,0.5801634147,0.63127528,0.6322062048,2015-07-14_17-41-08,u'ZA90_ventures_calibration_2015-07-14_17-40-28',0.5881604089,0.6400440076,0.6173375976,0.6580243404,2015-07-15_17-06-07,u'ZA90_ventures_calibration_2015-07-15_17-05-31',0.7018863288,0.6491895548,0.6517380592,0.7125802912,2015-07-17_17-07-51,u'ZA90_ventures_calibration_2015-07-17_17-07-14',,,,,,,,,,,,,,,,,,,,,,,,
26,DJ97,7,0.6785900128,0.7404185259,0.6755828241,0.6493495118,2015-07-10_18-47-00,u'DJ97_ventures_calibration_2015-07-10_18-44-22',0.7446607674,0.6677758345,0.6758128649,0.6484681844,2015-07-11_14-39-14,u'DJ97_ventures_calibration_2015-07-11_14-38-01',0.7969460573,0.4758433504,0.7072580786,0.6706331243,2015-07-12_18-18-22,u'DJ97_ventures_calibration_2015-07-12_18-17-47',0.8403215693,0.5664388984,0.7119057748,0.6931147375,2015-07-13_18-17-09,u'DJ97_ventures_calibration_2015-07-13_18-16-17',0.7798527625,0.5975498887,0.6624737932,0.6871644987,2015-07-14_17-34-11,u'DJ97_ventures_calibration_2015-07-14_17-33-06',0.7009129775,0.6170821455,0.6387009787,0.7245847879,2015-07-15_18-18-01,u'DJ97_ventures_calibration_2015-07-15_18-17-16',0.7930815353,0.6403604101,0.7274710443,0.7783887473,2015-07-16_10-54-36,u'DJ97_ventures_calibration_2015-07-16_10-53-31',,,,,,,,,,,,,,,,,,,,,,,,
27,BK05,4,0.618369555,0.4880528871,0.7254664802,0.6125267868,2015-07-11_13-29-19,u'BK05_ventures_calibration_2015-07-11_13-27-40',0.6107571258,0.5099282345,0.7226448358,0.6282755943,2015-07-13_11-57-12,u'BK05_ventures_calibration_2015-07-13_11-56-16',0.6685191493,0.4709065956,1.0070843954,0.5879658879,2015-07-14_11-42-17,u'BK05_ventures_calibration_2015-07-14_11-41-29',0.5293712479,0.4296120466,0.6924682365,0.5914859767,2015-07-15_11-06-47,u'BK05_ventures_calibration_2015-07-15_11-06-12',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,WK88,5,0.6732618458,0.6326245929,0.6128721274,0.63302499,2015-07-11_14-00-52,u'WK88_ventures_calibration_2015-07-11_13-59-13',0.8286135079,0.7403126758,0.6417279345,0.7092859723,2015-07-12_10-31-08,u'WK88_ventures_calibration_2015-07-12_10-30-16',0.8181933528,0.6372959233,0.6671918279,0.7429911518,2015-07-13_15-45-11,u'WK88_ventures_calibration_2015-07-13_15-44-17',0.7771042644,0.5893667261,0.6725525413,0.7463185669,2015-07-14_15-50-52,u'WK88_ventures_calibration_2015-07-14_15-49-46',0.7978552472,0.6690232446,0.6884419843,0.7387615365,2015-07-15_15-48-45,u'WK88_ventures_calibration_2015-07-15_15-48-00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EW37,4,0.5470856996,0.4172217879,0.5070370945,0.5693799941,2015-07-11_14-50-05,u'EW37_ventures_calibration_2015-07-11_14-47-46',0.5862667625,0.4369151034,0.5926189827,0.576729824,2015-07-12_12-44-17,u'EW37_ventures_calibration_2015-07-12_12-43-15',0.6700207587,0.4307622245,0.618022598,0.5980992193,2015-07-13_19-08-13,u'EW37_ventures_calibration_2015-07-13_19-07-20',0.7016287498,0.4187466992,0.649604219,0.655539064,2015-07-14_19-09-03,u'EW37_ventures_calibration_2015-07-14_19-08-00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,HK00,3,0.5244458394,0.678946068,0.5616525013,0.6158880384,2015-07-12_16-28-02,u'HK00_ventures_calibration_2015-07-12_16-24-46',0.5701991257,0.6371948823,0.6282210404,0.6220726861,2015-07-13_20-09-41,u'HK00_ventures_calibration_2015-07-13_20-08-39',0.6342543483,0.6890514802,0.6621533044,0.6603594082,2015-07-16_20-57-50,u'HK00_ventures_calibration_2015-07-16_20-57-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
